Indicador,P-Value (Train vs Test),P-Value (Train vs Val),Drift Test,Drift Val
bb_inferior,3.2e-322,0.0,Sí,Sí
ma_5,2.27e-322,0.0,Sí,Sí
ma_10,2.27e-322,0.0,Sí,Sí
ma_20,2.1e-322,0.0,Sí,Sí
ma_50,2.08e-322,0.0,Sí,Sí
bb_superior,1.2e-322,0.0,Sí,Sí
bb_media,2.1e-322,0.0,Sí,Sí
atr_14,7.26e-322,3.8e-322,Sí,Sí
volatilidad_20,4.666821131424187e-290,7.2e-322,Sí,Sí
volatilidad_10,3.6621275593695022e-242,5.173836520802359e-259,Sí,Sí
rango_diario,3.2176093229480784e-207,1.0335182915507987e-255,Sí,Sí
volatilidad_5,1.7170336224197297e-192,4.026865033818173e-216,Sí,Sí
volumen_ma_20,1.1423073508308968e-59,2.4164498608157964e-177,Sí,Sí
volumen_ma_5,7.031180350631267e-39,4.3428584893634786e-138,Sí,Sí
momentum_20,2.8771264614840322e-56,7.338582979269508e-117,Sí,Sí
momentum_10,3.046420242399494e-37,4.052731518854118e-73,Sí,Sí
momentum_5,1.9417271740089475e-41,1.915771018503848e-49,Sí,Sí
atr_pct,3.3506930333241704e-72,1.2699303490163575e-14,Sí,Sí
retorno_20d,2.9727914761060507e-10,5.0039858235967426e-14,Sí,Sí
rsi_30,0.009935092842820698,2.8616818587105074e-11,Sí,Sí
dist_ma_20,4.51940996988486e-09,1.950106000442882e-09,Sí,Sí
retorno_10d,2.7993620617229805e-07,2.7168761518493974e-07,Sí,Sí
rsi_14,0.11704411048521245,1.7607776273610383e-06,No,Sí
rango_pct,2.0690031117042812e-37,4.14557659985353e-06,Sí,Sí
bb_posicion,0.3344710623176831,0.00094244722643056,No,Sí
dist_ma_5,2.094074301201826e-06,0.007201785069772071,Sí,Sí
retorno_5d,3.694062084595672e-07,0.007927239733478279,Sí,Sí
volumen_ratio,0.40464713211255854,0.018033096466424845,No,Sí
retorno_1d,2.883787421004724e-06,0.1006701503627508,Sí,No
